FILE_BYTES_READ,FILE_BYTES_WRITTEN,FILE_LARGE_READ_OPS,FILE_READ_OPS,FILE_WRITE_OPS,HDFS_BYTES_READ,HDFS_BYTES_WRITTEN,HDFS_LARGE_READ_OPS,HDFS_READ_OPS,HDFS_WRITE_OPS,S3A_BYTES_READ,S3A_BYTES_WRITTEN,S3A_LARGE_READ_OPS,S3A_READ_OPS,S3A_WRITE_OPS,avgMapTime,avgMergeTime,avgReduceTime,avgShuffleTime,bandwidth,datasize,diagnostics,failedMapAttempts,failedReduceAttempts,finishTime,id,inputs,killedMapAttempts,killedReduceAttempts,map.cpu,map.memory,mapsCompleted,mapsTotal,name,output,queue,queue time,reduce.cpu,reduce.memory,reducesCompleted,reducesTotal,runtime,startTime,state,submitTime,successfulMapAttempts,successfulReduceAttempts,type,uberized,user
366,484003,0,0,0,675575,300,0,5,2,,,,,,4072,32,390,2974,40,675575,,0,0,1570049227729,job_1569357382192_0155,['tmp84791227'],0,0,1,4096,1,1,PigLatin:Q3.pig,['tmp-1635626758'],default,8779,1,8192,1,1,12560,1570049215169,SUCCEEDED,1570049206390,1,1,"['ORDER_BY', 'COMBINER']",False,ubuntu
366,470567,0,0,0,702,360,0,5,2,,,,,,3305,30,367,2745,40,702,,0,0,1570049251005,job_1569357382192_0156,['tmp-1635626758'],0,0,1,4096,1,1,PigLatin:Q3.pig,[],default,7687,1,8192,1,1,11313,1570049239692,SUCCEEDED,1570049232005,1,1,['UDF'],False,ubuntu
144789724,305050730,0,0,0,51318,13332763,0,66,2,1863106985.0,0.0,0.0,512.0,0.0,7938,3408,14966,108109,10,1863158303,,0,0,1570049433500,job_1569357382192_0157,"['tpch_2G_lineitem', ' tpch_2G_orders']",0,0,1,4096,63,63,PigLatin:Q4.pig,['tmp1172517807'],default,5311,1,8192,1,1,158883,1570049274617,SUCCEEDED,1570049269306,63,1,['COGROUP'],False,ubuntu
108,487533,0,0,0,13333165,87,0,5,2,,,,,,4527,28,420,2991,40,13333165,,0,0,1570049458294,job_1569357382192_0158,['tmp1172517807'],0,0,1,4096,1,1,PigLatin:Q4.pig,['tmp-1632545818'],default,5181,1,8192,1,1,12615,1570049445679,SUCCEEDED,1570049440498,1,1,"['GROUP_BY', 'COMBINER']",False,ubuntu
190,475419,0,0,0,490,63,0,5,2,,,,,,3137,28,394,2874,40,490,,0,0,1570049481232,job_1569357382192_0159,['tmp-1632545818'],0,0,1,4096,1,1,PigLatin:Q4.pig,['tmp-1340831165'],default,8621,1,8192,1,1,11454,1570049469778,SUCCEEDED,1570049461157,1,1,['SAMPLER'],False,ubuntu
103,470345,0,0,0,490,77,0,5,2,,,,,,3356,26,432,2970,40,490,,0,0,1570049505047,job_1569357382192_0160,['tmp-1632545818'],0,0,1,4096,1,1,PigLatin:Q4.pig,[],default,6699,1,8192,1,1,11599,1570049493448,SUCCEEDED,1570049486749,1,1,['ORDER_BY'],False,ubuntu
592,717673,0,0,0,726,71,0,5,2,2583.0,0.0,0.0,2.0,0.0,4204,26,396,2649,10,3309,,0,0,1570049540685,job_1569357382192_0161,"['tpch_2G_nation', ' tpch_2G_region']",0,0,1,4096,2,2,PigLatin:Q5.pig,['tmp-1930980157'],default,5285,1,8192,1,1,12237,1570049528448,SUCCEEDED,1570049523163,2,1,['HASH_JOIN'],False,ubuntu
279979,1274146,0,0,0,17313,61182,0,6,2,2806802.0,0.0,0.0,256.0,0.0,19315,69,578,29877,10,2824115,,0,0,1570049590982,job_1569357382192_0162,"['tpch_2G_supplier', 'tmp-1930980157']",1,0,1,4096,2,2,PigLatin:Q5.pig,['tmp-1672191446'],default,7745,1,8192,1,1,38685,1570049552297,SUCCEEDED,1570049544552,2,1,['HASH_JOIN'],False,ubuntu
455962720,924818942,0,0,0,94030,85015872,0,57,2,1520346495.0,0.0,0.0,256.0,0.0,7936,6856,22854,91004,10,1520440525,,0,0,1570049748890,job_1569357382192_0163,"['tmp-1672191446', ' tpch_2G_lineitem']",0,0,1,4096,53,53,PigLatin:Q5.pig,['tmp-153372759'],default,7160,1,8192,1,1,145968,1570049602922,SUCCEEDED,1570049595762,53,1,['HASH_JOIN'],False,ubuntu
221467579,339822411,0,0,0,85035149,12823490,0,16,2,342760490.0,0.0,0.0,256.0,0.0,10989,1607,8567,15666,10,427795639,,0,0,1570049802950,job_1569357382192_0164,"['tmp-153372759', ' tpch_2G_orders']",0,0,1,4096,12,12,PigLatin:Q5.pig,['tmp553887018'],default,8834,1,8192,1,1,42041,1570049760909,SUCCEEDED,1570049752075,12,1,['HASH_JOIN'],False,ubuntu
19722741,40400883,0,0,0,12841036,283422,0,7,2,48503120.0,0.0,0.0,256.0,0.0,17373,431,2999,22159,10,61344156,,0,0,1570049850877,job_1569357382192_0165,"['tpch_2G_customer', 'tmp553887018']",1,0,1,4096,3,3,PigLatin:Q5.pig,['tmp1697302068'],default,6890,1,8192,1,1,35769,1570049815108,SUCCEEDED,1570049808218,3,1,['HASH_JOIN'],False,ubuntu
127,489719,0,0,0,283825,106,0,5,2,,,,,,3630,27,409,2864,40,283825,,0,0,1570049873932,job_1569357382192_0166,['tmp1697302068'],0,0,1,4096,1,1,PigLatin:Q5.pig,['tmp1720467756'],default,8631,1,8192,1,1,11448,1570049862484,SUCCEEDED,1570049853853,1,1,"['GROUP_BY', 'COMBINER']",False,ubuntu
166,477045,0,0,0,509,64,0,5,2,,,,,,3131,30,386,2810,40,509,,0,0,1570049897588,job_1569357382192_0167,['tmp1720467756'],0,0,1,4096,1,1,PigLatin:Q5.pig,['tmp1009071129'],default,6574,1,8192,1,1,11394,1570049886194,SUCCEEDED,1570049879620,1,1,['SAMPLER'],False,ubuntu
127,472169,0,0,0,509,140,0,5,2,,,,,,3468,28,452,2790,40,509,,0,0,1570049921622,job_1569357382192_0168,['tmp1720467756'],0,0,1,4096,1,1,PigLatin:Q5.pig,[],default,9701,1,8192,1,1,11755,1570049909867,SUCCEEDED,1570049900166,1,1,['ORDER_BY'],False,ubuntu
1098,12976147,0,0,0,32444,21,0,55,2,1520346495.0,0.0,0.0,256.0,0.0,7087,30,435,81055,10,1520378939,,0,0,1570050047617,job_1569357382192_0169,['tpch_2G_lineitem'],0,0,1,4096,52,52,PigLatin:Q6.pig,[],default,5443,1,8192,1,1,105772,1570049941845,SUCCEEDED,1570049936402,52,1,"['GROUP_BY', 'COMBINER']",False,ubuntu
0,230730,0,0,0,363,35,0,4,2,2199.0,0.0,0.0,1.0,0.0,4691,0,0,0,10,2562,,0,0,1570050080418,job_1569357382192_0170,['tpch_2G_nation'],0,0,1,4096,1,1,PigLatin:Q7.pig,['tmp304779073'],default,5415,1,8192,0,0,7045,1570050073373,SUCCEEDED,1570050067958,1,0,['MAP_ONLY'],False,ubuntu
0,230780,0,0,0,363,35,0,4,2,2199.0,0.0,0.0,1.0,0.0,4214,0,0,0,10,2562,,0,0,1570050099294,job_1569357382192_0171,['tpch_2G_nation'],0,0,1,4096,1,1,PigLatin:Q7.pig,['tmp569120882'],default,24010,1,8192,0,0,6600,1570050092694,SUCCEEDED,1570050068684,1,0,['MAP_ONLY'],False,ubuntu
185924040,384903732,0,0,0,49282,13431331,0,56,2,1523153297.0,0.0,0.0,512.0,0.0,8454,2675,5561,122917,10,1523202579,,0,0,1570050268643,job_1569357382192_0172,"['tpch_2G_supplier', ' tpch_2G_lineitem']",1,0,1,4096,53,53,PigLatin:Q7.pig,['tmp-198944380'],default,5410,1,8192,1,1,157390,1570050111253,SUCCEEDED,1570050105843,53,1,"['REPLICATED_JOIN', 'HASH_JOIN']",False,ubuntu
60576250,124514110,0,0,0,36018,3773029,0,16,2,391263610.0,0.0,0.0,512.0,0.0,12560,1608,3427,22773,10,391299628,,0,0,1570050328492,job_1569357382192_0173,"['tpch_2G_orders', ' tpch_2G_customer']",1,0,1,4096,13,13,PigLatin:Q7.pig,['tmp-2061755896'],default,173541,1,8192,1,1,48023,1570050280469,SUCCEEDED,1570050106928,13,1,"['REPLICATED_JOIN', 'HASH_JOIN']",False,ubuntu
21890701,44506957,0,0,0,17205167,423038,0,7,2,,,,,,4925,437,3365,2941,40,17205167,,0,0,1570050357318,job_1569357382192_0174,"['tmp-2061755896', 'tmp-198944380']",0,0,1,4096,2,2,PigLatin:Q7.pig,['tmp-1094513818'],default,6765,1,8192,1,1,16902,1570050340416,SUCCEEDED,1570050333651,2,1,['HASH_JOIN'],False,ubuntu
182,491227,0,0,0,423442,154,0,5,2,,,,,,4086,27,398,2709,40,423442,,0,0,1570050381752,job_1569357382192_0175,['tmp-1094513818'],0,0,1,4096,1,1,PigLatin:Q7.pig,['tmp-1588072615'],default,10200,1,8192,1,1,12322,1570050369430,SUCCEEDED,1570050359230,1,1,"['GROUP_BY', 'COMBINER']",False,ubuntu
274,478659,0,0,0,558,81,0,5,2,,,,,,2991,31,427,2921,40,558,,0,0,1570050405331,job_1569357382192_0176,['tmp-1588072615'],0,0,1,4096,1,1,PigLatin:Q7.pig,['tmp-76744607'],default,8986,1,8192,1,1,11531,1570050393800,SUCCEEDED,1570050384814,1,1,['SAMPLER'],False,ubuntu
178,473289,0,0,0,558,163,0,5,2,,,,,,3096,33,388,2817,40,558,,0,0,1570050429124,job_1569357382192_0177,['tmp-1588072615'],0,0,1,4096,1,1,PigLatin:Q7.pig,[],default,7063,1,8192,1,1,11414,1570050417710,SUCCEEDED,1570050410647,1,1,['ORDER_BY'],False,ubuntu
0,231561,0,0,0,363,12,0,4,2,384.0,0.0,0.0,1.0,0.0,4304,0,0,0,10,747,,0,0,1570050460596,job_1569357382192_0178,['tpch_2G_region'],0,0,1,4096,1,1,PigLatin:Q8.pig,['tmp1997698893'],default,5262,1,8192,0,0,6655,1570050453941,SUCCEEDED,1570050448679,1,0,['MAP_ONLY'],False,ubuntu
383835915,780903982,0,0,0,47540,1540004,0,57,2,1568470812.0,0.0,0.0,512.0,0.0,8790,8170,11172,103078,10,1568518352,,0,0,1570050623554,job_1569357382192_0179,"['tpch_2G_part', ' tpch_2G_lineitem']",1,0,1,4096,54,54,PigLatin:Q8.pig,['tmp379537183'],default,22908,1,8192,1,1,150677,1570050472877,SUCCEEDED,1570050449969,54,1,['HASH_JOIN'],False,ubuntu
0,231985,0,0,0,363,710,0,6,4,2199.0,0.0,0.0,1.0,0.0,4387,0,0,0,10,2562,,0,0,1570050642063,job_1569357382192_0180,['tpch_2G_nation'],0,0,1,4096,1,1,PigLatin:Q8.pig,"['tmp-1150875187', 'tmp507620383']",default,184720,1,8192,0,0,6779,1570050635284,SUCCEEDED,1570050450564,1,0,"['MULTI_QUERY', 'MAP_ONLY']",False,ubuntu
2973119,6665799,0,0,0,1557243,2150229,0,6,2,2806802.0,0.0,0.0,256.0,0.0,20387,130,1170,30991,10,4364045,,0,0,1570050695530,job_1569357382192_0181,"['tpch_2G_supplier', 'tmp379537183']",1,0,1,4096,2,2,PigLatin:Q8.pig,['tmp169465505'],default,6795,1,8192,1,1,41461,1570050654069,SUCCEEDED,1570050647274,2,1,"['REPLICATED_JOIN', 'HASH_JOIN']",False,ubuntu
56,232557,0,0,0,776,24,0,5,2,,,,,,3277,0,0,0,40,776,,0,0,1570050712813,job_1569357382192_0182,['tmp507620383'],0,0,1,4096,1,1,PigLatin:Q8.pig,['tmp-2132733145'],default,59537,1,8192,0,0,5610,1570050707203,SUCCEEDED,1570050647666,1,0,"['REPLICATED_JOIN', 'MAP_ONLY']",False,ubuntu
0,228920,0,0,0,427,24,0,5,2,,,,,,3432,0,0,0,40,427,,0,0,1570050730614,job_1569357382192_0183,['tmp-2132733145'],0,0,1,4096,1,1,PigLatin:Q8.pig,['tmp-1013897445'],default,6288,1,8192,0,0,5804,1570050724810,SUCCEEDED,1570050718522,1,0,['MAP_ONLY'],False,ubuntu
30968957,65318772,0,0,0,36018,3460482,0,16,2,391263610.0,0.0,0.0,512.0,0.0,12411,685,2674,21874,10,391299628,,0,0,1570050787827,job_1569357382192_0184,"['tpch_2G_customer', ' tpch_2G_orders']",1,0,1,4096,13,13,PigLatin:Q8.pig,['tmp1851145738'],default,7421,1,8192,1,1,45437,1570050742390,SUCCEEDED,1570050734969,13,1,"['REPLICATED_JOIN', 'HASH_JOIN']",False,ubuntu
7982572,16684984,0,0,0,5611514,133036,0,7,2,,,,,,4227,244,1740,2772,40,5611514,,0,0,1570050813371,job_1569357382192_0185,"['tmp1851145738', 'tmp169465505']",0,0,1,4096,2,2,PigLatin:Q8.pig,['tmp2011354466'],default,8870,1,8192,1,1,13945,1570050799426,SUCCEEDED,1570050790556,2,1,['HASH_JOIN'],False,ubuntu
70,493409,0,0,0,133438,44,0,5,2,,,,,,3380,26,386,2793,40,133438,,0,0,1570050836637,job_1569357382192_0186,['tmp2011354466'],0,0,1,4096,1,1,PigLatin:Q8.pig,['tmp295332774'],default,9082,1,8192,1,1,11378,1570050825259,SUCCEEDED,1570050816177,1,1,"['GROUP_BY', 'COMBINER']",False,ubuntu
62,478929,0,0,0,445,62,0,5,2,,,,,,2870,28,447,2998,40,445,,0,0,1570050860148,job_1569357382192_0187,['tmp295332774'],0,0,1,4096,1,1,PigLatin:Q8.pig,['tmp1946427772'],default,6791,1,8192,1,1,11622,1570050848526,SUCCEEDED,1570050841735,1,1,['SAMPLER'],False,ubuntu
48,474039,0,0,0,445,50,0,5,2,,,,,,3282,28,413,2977,40,445,,0,0,1570050883945,job_1569357382192_0188,['tmp295332774'],0,0,1,4096,1,1,PigLatin:Q8.pig,[],default,10005,1,8192,1,1,11663,1570050872282,SUCCEEDED,1570050862277,1,1,['ORDER_BY'],False,ubuntu
0,230089,0,0,0,363,335,0,4,2,2199.0,0.0,0.0,1.0,0.0,4373,0,0,0,10,2562,,0,0,1570050919150,job_1569357382192_0189,['tpch_2G_nation'],0,0,1,4096,1,1,PigLatin:Q9.pig,['tmp-430231446'],default,5073,1,8192,0,0,6717,1570050912433,SUCCEEDED,1570050907360,1,0,['MAP_ONLY'],False,ubuntu
600104973,1213445728,0,0,0,47540,28583336,0,57,2,1568470812.0,0.0,0.0,512.0,0.0,9018,10055,19095,105632,10,1568518352,,0,0,1570051096633,job_1569357382192_0190,"['tpch_2G_lineitem', ' tpch_2G_part']",1,0,1,4096,54,54,PigLatin:Q9.pig,['tmp850610081'],default,21924,1,8192,1,1,165998,1570050930635,SUCCEEDED,1570050908711,54,1,['HASH_JOIN'],False,ubuntu
36613016,73945227,0,0,0,28600574,35649177,0,6,2,2806802.0,0.0,0.0,256.0,0.0,21398,482,4533,26761,10,31407376,,0,0,1570051152897,job_1569357382192_0191,"['tpch_2G_supplier', 'tmp850610081']",1,0,1,4096,2,2,PigLatin:Q9.pig,['tmp1945105446'],default,7599,1,8192,1,1,43963,1570051108934,SUCCEEDED,1570051101335,2,1,"['REPLICATED_JOIN', 'HASH_JOIN']",False,ubuntu
80077867,162547367,0,0,0,35668558,36468322,0,13,2,237578674.0,0.0,0.0,256.0,0.0,11205,1441,9771,7779,10,273247232,,0,0,1570051200013,job_1569357382192_0192,"['tpch_2G_partsupp', 'tmp1945105446']",0,0,1,4096,9,9,PigLatin:Q9.pig,['tmp762108266'],default,7327,1,8192,1,1,35186,1570051164827,SUCCEEDED,1570051157500,9,1,['HASH_JOIN'],False,ubuntu
126563073,256254375,0,0,0,36487596,18969503,0,16,2,342760490.0,0.0,0.0,256.0,0.0,11227,1939,12879,15706,10,379248086,,0,0,1570051258963,job_1569357382192_0193,"['tmp762108266', ' tpch_2G_orders']",0,0,1,4096,12,12,PigLatin:Q9.pig,['tmp-1502675873'],default,8248,1,8192,1,1,46722,1570051212241,SUCCEEDED,1570051203993,12,1,['HASH_JOIN'],False,ubuntu
6145,502703,0,0,0,18969905,4769,0,5,2,,,,,,8064,29,430,2766,40,18969905,,0,0,1570051288379,job_1569357382192_0194,['tmp-1502675873'],0,0,1,4096,1,1,PigLatin:Q9.pig,['tmp-816879534'],default,7342,1,8192,1,1,16404,1570051271975,SUCCEEDED,1570051264633,1,1,"['GROUP_BY', 'COMBINER']",False,ubuntu
4904,487633,0,0,0,5170,72,0,5,2,,,,,,3056,30,621,2688,40,5170,,0,0,1570051311986,job_1569357382192_0195,['tmp-816879534'],0,0,1,4096,1,1,PigLatin:Q9.pig,['tmp2027472474'],default,10072,1,8192,1,1,11501,1570051300485,SUCCEEDED,1570051290413,1,1,['SAMPLER'],False,ubuntu
5970,484813,0,0,0,5170,5824,0,5,2,,,,,,3358,33,403,2893,40,5170,,0,0,1570051335746,job_1569357382192_0196,['tmp-816879534'],0,0,1,4096,1,1,PigLatin:Q9.pig,[],default,8255,1,8192,1,1,11502,1570051324244,SUCCEEDED,1570051315989,1,1,['ORDER_BY'],False,ubuntu
53083913,109535756,0,0,0,36018,18902500,0,16,2,391263610.0,0.0,0.0,512.0,0.0,11898,500,3310,23867,10,391299628,,0,0,1570051410869,job_1569357382192_0197,"['tpch_2G_customer', ' tpch_2G_orders']",1,0,1,4096,13,13,PigLatin:Q10.pig,['tmp33108002'],default,5057,1,8192,1,1,45899,1570051364970,SUCCEEDED,1570051359913,13,1,['HASH_JOIN'],False,ubuntu
19841724,40399403,0,0,0,18903263,19841625,0,6,2,2199.0,0.0,0.0,1.0,0.0,4402,207,2146,2695,10,18905462,,0,0,1570051437021,job_1569357382192_0198,"['tpch_2G_nation', 'tmp33108002']",0,0,1,4096,2,2,PigLatin:Q10.pig,['tmp-499814617'],default,6480,1,8192,1,1,14218,1570051422803,SUCCEEDED,1570051416323,2,1,['HASH_JOIN'],False,ubuntu
118646113,250286168,0,0,0,19874471,40722707,0,57,2,1520346495.0,0.0,0.0,256.0,0.0,7673,1736,8005,93894,10,1540220966,,0,0,1570051574844,job_1569357382192_0199,"['tmp-499814617', ' tpch_2G_lineitem']",0,0,1,4096,53,53,PigLatin:Q10.pig,['tmp547127953'],default,6571,1,8192,1,1,125857,1570051448987,SUCCEEDED,1570051442416,53,1,['HASH_JOIN'],False,ubuntu
14104110,28700773,0,0,0,40723108,13487764,0,5,2,,,,,,7148,167,1679,2821,40,40723108,,0,0,1570051603583,job_1569357382192_0200,['tmp547127953'],0,0,1,4096,1,1,PigLatin:Q10.pig,['tmp253827310'],default,8564,1,8192,1,1,16856,1570051586727,SUCCEEDED,1570051578163,1,1,"['GROUP_BY', 'COMBINER']",False,ubuntu
3206,482925,0,0,0,13488165,64,0,5,2,,,,,,3696,32,429,2846,40,13488165,,0,0,1570051626504,job_1569357382192_0201,['tmp253827310'],0,0,1,4096,1,1,PigLatin:Q10.pig,['tmp1248383315'],default,6282,1,8192,1,1,11451,1570051615053,SUCCEEDED,1570051608771,1,1,['SAMPLER'],False,ubuntu
3535,491095,0,0,0,13488165,3430,0,5,2,,,,,,4492,27,519,2856,40,13488165,,0,0,1570051652188,job_1569357382192_0202,['tmp253827310'],0,0,1,4096,1,1,PigLatin:Q10.pig,['tmp355546547'],default,10260,1,8192,1,1,12576,1570051639612,SUCCEEDED,1570051629352,1,1,"['ORDER_BY', 'COMBINER']",False,ubuntu
3535,478001,0,0,0,3831,3343,0,5,2,,,,,,3298,29,434,2702,40,3831,,0,0,1570051675183,job_1569357382192_0203,['tmp355546547'],0,0,1,4096,1,1,PigLatin:Q10.pig,[],default,8932,1,8192,1,1,11340,1570051663843,SUCCEEDED,1570051654911,1,1,['UDF'],False,ubuntu
279889,1273471,0,0,0,17201,3230,0,5,2,2809001.0,0.0,0.0,257.0,0.0,19676,63,496,28810,10,2826202,,0,0,1570051737150,job_1569357382192_0204,"['tpch_2G_nation', ' tpch_2G_supplier']",1,0,1,4096,2,2,PigLatin:Q11.pig,['tmp-107550463'],default,5384,1,8192,1,1,38538,1570051698612,SUCCEEDED,1570051693228,2,1,['HASH_JOIN'],False,ubuntu
50929011,104241815,0,0,0,22612,959047,0,13,2,237578674.0,0.0,0.0,256.0,0.0,10500,902,2910,20789,10,237601286,,0,0,1570051783024,job_1569357382192_0205,"['tmp-107550463', ' tpch_2G_partsupp']",0,0,1,4096,9,9,PigLatin:Q11.pig,['tmp-1368892256'],default,5578,1,8192,1,1,32801,1570051750223,SUCCEEDED,1570051744645,9,1,['HASH_JOIN'],False,ubuntu
27,488841,0,0,0,959450,20,0,5,2,,,,,,4165,25,386,2599,40,959450,,0,0,1570051806934,job_1569357382192_0206,['tmp-1368892256'],0,0,1,4096,1,1,PigLatin:Q11.pig,['tmp-1092387231'],default,9424,1,8192,1,1,12162,1570051794772,SUCCEEDED,1570051785348,1,1,"['GROUP_BY', 'COMBINER']",False,ubuntu
1513731,3520253,0,0,0,959480,160,0,8,2,,,,,,4706,97,1203,2764,40,959480,,0,0,1570051832202,job_1569357382192_0207,['tmp-1368892256'],0,0,1,4096,1,1,PigLatin:Q11.pig,['tmp-1664034913'],default,8045,1,8192,1,1,13236,1570051818966,SUCCEEDED,1570051810921,1,1,"['GROUP_BY', 'COMBINER']",False,ubuntu
326,476067,0,0,0,563,64,0,5,2,,,,,,3134,29,392,2758,40,563,,0,0,1570051855757,job_1569357382192_0208,['tmp-1664034913'],0,0,1,4096,1,1,PigLatin:Q11.pig,['tmp40635584'],default,7907,1,8192,1,1,11354,1570051844403,SUCCEEDED,1570051836496,1,1,['SAMPLER'],False,ubuntu
