job_id,n_maps,Reduces,MaxMapTime,MinMapTime,AvgMapTime,MedianMapTime,MaxReduceTime,MinReduceTime,AvgReduceTime,MedianReducetime,Alias,Type,Outputs,Inputs,DagId,runtime,queuetime,maptime,name
job_1569357382192_0150,1,1,3,3,3,3,3,3,3,3,SortedMinimumCostSupplier,UDF,['/tpch/q6_2g_1rep_s3/Q2out'],['hdfs://kariz-1:9000/tmp/temp892475088/tmp1613419486'],614a9ff8-f0e4-44b3-8425-594cd33d0db9,11,9,3,PigLatin:Q2.pig
job_1569357382192_0151,13,1,36,7,14,12,33,33,33,33,customer|fcustomer|forders|o1|orders|selo1,HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp865132004/tmp190479574'],"['s3a://data/tpch-2G/orders', 's3a://data/tpch-2G/customer']",db8a42f0-17da-4b72-8fd3-2392a55ef533,56,5,14,PigLatin:Q3.pig
job_1569357382192_0152,53,1,9,4,8,8,108,108,108,108,flineitem|l1|lineitem|sell1,HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp865132004/tmp939710845'],"['s3a://data/tpch-2G/lineitem', 'hdfs://kariz-1:9000/tmp/temp865132004/tmp190479574']",db8a42f0-17da-4b72-8fd3-2392a55ef533,133,6,8,PigLatin:Q3.pig
job_1569357382192_0153,1,1,4,4,4,4,3,3,3,3,grResult|sumResult,GROUP_BY|COMBINER,['hdfs://kariz-1:9000/tmp/temp865132004/tmp84791227'],['hdfs://kariz-1:9000/tmp/temp865132004/tmp939710845'],db8a42f0-17da-4b72-8fd3-2392a55ef533,12,7,4,PigLatin:Q3.pig
job_1569357382192_0154,1,1,3,3,3,3,3,3,3,3,sortResult,SAMPLER,['hdfs://kariz-1:9000/tmp/temp865132004/tmp1758266159'],['hdfs://kariz-1:9000/tmp/temp865132004/tmp84791227'],db8a42f0-17da-4b72-8fd3-2392a55ef533,11,6,3,PigLatin:Q3.pig
job_1569357382192_0155,1,1,4,4,4,4,3,3,3,3,sortResult,ORDER_BY|COMBINER,['hdfs://kariz-1:9000/tmp/temp865132004/tmp-1635626758'],['hdfs://kariz-1:9000/tmp/temp865132004/tmp84791227'],db8a42f0-17da-4b72-8fd3-2392a55ef533,12,8,4,PigLatin:Q3.pig
job_1569357382192_0156,1,1,3,3,3,3,3,3,3,3,sortResult,UDF,['/tpch/q6_2g_1rep_s3/Q3out'],['hdfs://kariz-1:9000/tmp/temp865132004/tmp-1635626758'],db8a42f0-17da-4b72-8fd3-2392a55ef533,11,7,3,PigLatin:Q3.pig
job_1569357382192_0157,63,1,10,5,7,7,126,126,126,126,COG1|CommitDateFilter|CommitDateFilter0|DateFilter|Fil1|LineItem|Orders|OrdersCount,COGROUP,['hdfs://kariz-1:9000/tmp/temp-948354010/tmp1172517807'],"['s3a://data/tpch-2G/lineitem', 's3a://data/tpch-2G/orders']",c7a548e8-ad83-480c-9891-61b011a49e20,158,5,7,PigLatin:Q4.pig
job_1569357382192_0158,1,1,4,4,4,4,3,3,3,3,PriorityChecking|PriorityGroup,GROUP_BY|COMBINER,['hdfs://kariz-1:9000/tmp/temp-948354010/tmp-1632545818'],['hdfs://kariz-1:9000/tmp/temp-948354010/tmp1172517807'],c7a548e8-ad83-480c-9891-61b011a49e20,12,5,4,PigLatin:Q4.pig
job_1569357382192_0159,1,1,3,3,3,3,3,3,3,3,SortedPriorityChecking,SAMPLER,['hdfs://kariz-1:9000/tmp/temp-948354010/tmp-1340831165'],['hdfs://kariz-1:9000/tmp/temp-948354010/tmp-1632545818'],c7a548e8-ad83-480c-9891-61b011a49e20,11,8,3,PigLatin:Q4.pig
job_1569357382192_0160,1,1,3,3,3,3,3,3,3,3,SortedPriorityChecking,ORDER_BY,['/tpch/q6_2g_1rep_s3/Q4out'],['hdfs://kariz-1:9000/tmp/temp-948354010/tmp-1632545818'],c7a548e8-ad83-480c-9891-61b011a49e20,11,6,3,PigLatin:Q4.pig
job_1569357382192_0161,2,1,4,4,4,4,3,3,3,3,fregion|n1|nation|region|seln1,HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp-1269498660/tmp-1930980157'],"['s3a://data/tpch-2G/nation', 's3a://data/tpch-2G/region']",f1fd006c-bbaf-433e-bc4d-ad77bb1d7f4d,12,5,4,PigLatin:Q5.pig
job_1569357382192_0162,2,1,35,3,19,19,30,30,30,30,s1|sels1|supplier,HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp-1269498660/tmp-1672191446'],"['s3a://data/tpch-2G/supplier', 'hdfs://kariz-1:9000/tmp/temp-1269498660/tmp-1930980157']",f1fd006c-bbaf-433e-bc4d-ad77bb1d7f4d,38,7,19,PigLatin:Q5.pig
job_1569357382192_0163,53,1,8,3,7,8,120,120,120,120,l1|lineitem|sell1,HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp-1269498660/tmp-153372759'],"['hdfs://kariz-1:9000/tmp/temp-1269498660/tmp-1672191446', 's3a://data/tpch-2G/lineitem']",f1fd006c-bbaf-433e-bc4d-ad77bb1d7f4d,145,7,7,PigLatin:Q5.pig
job_1569357382192_0164,12,1,17,6,10,10,25,25,25,25,forders|o1|orders|selo1,HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp-1269498660/tmp553887018'],"['hdfs://kariz-1:9000/tmp/temp-1269498660/tmp-153372759', 's3a://data/tpch-2G/orders']",f1fd006c-bbaf-433e-bc4d-ad77bb1d7f4d,42,8,10,PigLatin:Q5.pig
job_1569357382192_0165,3,1,29,5,17,16,25,25,25,25,c1|customer|selc1,HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp-1269498660/tmp1697302068'],"['s3a://data/tpch-2G/customer', 'hdfs://kariz-1:9000/tmp/temp-1269498660/tmp553887018']",f1fd006c-bbaf-433e-bc4d-ad77bb1d7f4d,35,6,17,PigLatin:Q5.pig
job_1569357382192_0166,1,1,3,3,3,3,3,3,3,3,grResult|sumResult,GROUP_BY|COMBINER,['hdfs://kariz-1:9000/tmp/temp-1269498660/tmp1720467756'],['hdfs://kariz-1:9000/tmp/temp-1269498660/tmp1697302068'],f1fd006c-bbaf-433e-bc4d-ad77bb1d7f4d,11,8,3,PigLatin:Q5.pig
job_1569357382192_0167,1,1,3,3,3,3,3,3,3,3,sortResult,SAMPLER,['hdfs://kariz-1:9000/tmp/temp-1269498660/tmp1009071129'],['hdfs://kariz-1:9000/tmp/temp-1269498660/tmp1720467756'],f1fd006c-bbaf-433e-bc4d-ad77bb1d7f4d,11,6,3,PigLatin:Q5.pig
job_1569357382192_0168,1,1,3,3,3,3,3,3,3,3,sortResult,ORDER_BY,['/tpch/q6_2g_1rep_s3/Q5out'],['hdfs://kariz-1:9000/tmp/temp-1269498660/tmp1720467756'],f1fd006c-bbaf-433e-bc4d-ad77bb1d7f4d,11,9,3,PigLatin:Q5.pig
job_1569357382192_0169,52,1,8,4,7,7,81,81,81,81,flineitem|grpResult|lineitem|saving|sumResult,GROUP_BY|COMBINER,['/tpch/q6_2g_1rep_s3/Q6out'],['s3a://data/tpch-2G/lineitem'],8e3bcf42-809d-4c21-969b-8d604787a1b7,105,5,7,PigLatin:Q6.pig
job_1569357382192_0170,1,0,4,4,4,4,0,0,0,0,nation2|nation20,MAP_ONLY,['hdfs://kariz-1:9000/tmp/temp-2131700630/tmp304779073'],['s3a://data/tpch-2G/nation'],c639daee-face-4047-84d2-a48fb314ba36,7,5,4,PigLatin:Q7.pig
job_1569357382192_0171,1,0,4,4,4,4,0,0,0,0,nation1|nation10,MAP_ONLY,['hdfs://kariz-1:9000/tmp/temp-2131700630/tmp569120882'],['s3a://data/tpch-2G/nation'],c639daee-face-4047-84d2-a48fb314ba36,6,24,4,PigLatin:Q7.pig
job_1569357382192_0172,53,1,36,5,8,7,131,131,131,131,lineitem|lineitem0|liteitem_supplier_nation1|supplier|supplier_nation1,REPLICATED_JOIN|HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp-2131700630/tmp-198944380'],"['s3a://data/tpch-2G/supplier', 's3a://data/tpch-2G/lineitem']",c639daee-face-4047-84d2-a48fb314ba36,157,5,8,PigLatin:Q7.pig
job_1569357382192_0173,13,1,29,7,12,11,27,27,27,27,customer|customer_nation2|orders|orders_customer_nation2,REPLICATED_JOIN|HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp-2131700630/tmp-2061755896'],"['s3a://data/tpch-2G/orders', 's3a://data/tpch-2G/customer']",c639daee-face-4047-84d2-a48fb314ba36,48,173,12,PigLatin:Q7.pig
job_1569357382192_0174,2,1,4,4,4,4,6,6,6,6,filtered_final_join|final_join|shipping,HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp-2131700630/tmp-1094513818'],"['hdfs://kariz-1:9000/tmp/temp-2131700630/tmp-2061755896', 'hdfs://kariz-1:9000/tmp/temp-2131700630/tmp-198944380']",c639daee-face-4047-84d2-a48fb314ba36,16,6,4,PigLatin:Q7.pig
job_1569357382192_0175,1,1,4,4,4,4,3,3,3,3,aggregated_shipping|grouped_shipping,GROUP_BY|COMBINER,['hdfs://kariz-1:9000/tmp/temp-2131700630/tmp-1588072615'],['hdfs://kariz-1:9000/tmp/temp-2131700630/tmp-1094513818'],c639daee-face-4047-84d2-a48fb314ba36,12,10,4,PigLatin:Q7.pig
job_1569357382192_0176,1,1,2,2,2,2,3,3,3,3,ordered_shipping,SAMPLER,['hdfs://kariz-1:9000/tmp/temp-2131700630/tmp-76744607'],['hdfs://kariz-1:9000/tmp/temp-2131700630/tmp-1588072615'],c639daee-face-4047-84d2-a48fb314ba36,11,8,2,PigLatin:Q7.pig
job_1569357382192_0177,1,1,3,3,3,3,3,3,3,3,ordered_shipping,ORDER_BY,['/tpch/q6_2g_1rep_s3/Q7out'],['hdfs://kariz-1:9000/tmp/temp-2131700630/tmp-1588072615'],c639daee-face-4047-84d2-a48fb314ba36,11,7,3,PigLatin:Q7.pig
job_1569357382192_0178,1,0,4,4,4,4,0,0,0,0,fregion|region,MAP_ONLY,['hdfs://kariz-1:9000/tmp/temp-345912627/tmp1997698893'],['s3a://data/tpch-2G/region'],9670665d-1bb6-46db-9a3d-e7ba7efaf068,6,5,4,PigLatin:Q8.pig
job_1569357382192_0179,54,1,30,5,8,8,122,122,122,122,fpart|lineitem|p1|part,HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp-345912627/tmp379537183'],"['s3a://data/tpch-2G/part', 's3a://data/tpch-2G/lineitem']",9670665d-1bb6-46db-9a3d-e7ba7efaf068,150,22,8,PigLatin:Q8.pig
job_1569357382192_0180,1,0,4,4,4,4,0,0,0,0,nation,MULTI_QUERY|MAP_ONLY,"['hdfs://kariz-1:9000/tmp/temp-345912627/tmp-1150875187', 'hdfs://kariz-1:9000/tmp/temp-345912627/tmp507620383']",['s3a://data/tpch-2G/nation'],9670665d-1bb6-46db-9a3d-e7ba7efaf068,6,184,4,PigLatin:Q8.pig
job_1569357382192_0181,2,1,36,3,20,20,32,32,32,32,n2|s1|supplier,REPLICATED_JOIN|HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp-345912627/tmp169465505'],"['s3a://data/tpch-2G/supplier', 'hdfs://kariz-1:9000/tmp/temp-345912627/tmp379537183']",9670665d-1bb6-46db-9a3d-e7ba7efaf068,41,6,20,PigLatin:Q8.pig
job_1569357382192_0182,1,0,3,3,3,3,0,0,0,0,n1|nation|seln1,REPLICATED_JOIN|MAP_ONLY,['hdfs://kariz-1:9000/tmp/temp-345912627/tmp-2132733145'],['hdfs://kariz-1:9000/tmp/temp-345912627/tmp507620383'],9670665d-1bb6-46db-9a3d-e7ba7efaf068,5,59,3,PigLatin:Q8.pig
job_1569357382192_0183,1,0,3,3,3,3,0,0,0,0,,MAP_ONLY,['hdfs://kariz-1:9000/tmp/temp-345912627/tmp-1013897445'],['hdfs://kariz-1:9000/tmp/temp-345912627/tmp-2132733145'],9670665d-1bb6-46db-9a3d-e7ba7efaf068,5,6,3,PigLatin:Q8.pig
job_1569357382192_0184,13,1,30,6,12,11,25,25,25,25,c1|customer|forders|o1|orders|selc1,REPLICATED_JOIN|HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp-345912627/tmp1851145738'],"['s3a://data/tpch-2G/customer', 's3a://data/tpch-2G/orders']",9670665d-1bb6-46db-9a3d-e7ba7efaf068,45,7,12,PigLatin:Q8.pig
job_1569357382192_0185,2,1,4,4,4,4,4,4,4,4,l1|sels1,HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp-345912627/tmp2011354466'],"['hdfs://kariz-1:9000/tmp/temp-345912627/tmp1851145738', 'hdfs://kariz-1:9000/tmp/temp-345912627/tmp169465505']",9670665d-1bb6-46db-9a3d-e7ba7efaf068,13,8,4,PigLatin:Q8.pig
job_1569357382192_0186,1,1,3,3,3,3,3,3,3,3,grResult|sumResult,GROUP_BY|COMBINER,['hdfs://kariz-1:9000/tmp/temp-345912627/tmp295332774'],['hdfs://kariz-1:9000/tmp/temp-345912627/tmp2011354466'],9670665d-1bb6-46db-9a3d-e7ba7efaf068,11,9,3,PigLatin:Q8.pig
job_1569357382192_0187,1,1,2,2,2,2,3,3,3,3,sortResult,SAMPLER,['hdfs://kariz-1:9000/tmp/temp-345912627/tmp1946427772'],['hdfs://kariz-1:9000/tmp/temp-345912627/tmp295332774'],9670665d-1bb6-46db-9a3d-e7ba7efaf068,11,6,2,PigLatin:Q8.pig
job_1569357382192_0188,1,1,3,3,3,3,3,3,3,3,sortResult,ORDER_BY,['/tpch/q6_2g_1rep_s3/Q8out'],['hdfs://kariz-1:9000/tmp/temp-345912627/tmp295332774'],9670665d-1bb6-46db-9a3d-e7ba7efaf068,11,10,3,PigLatin:Q8.pig
job_1569357382192_0189,1,0,4,4,4,4,0,0,0,0,nation,MAP_ONLY,['hdfs://kariz-1:9000/tmp/temp983091402/tmp-430231446'],['s3a://data/tpch-2G/nation'],31a4ae76-3782-4f8f-9c38-dcec786db9ac,6,5,4,PigLatin:Q9.pig
job_1569357382192_0190,54,1,33,5,9,8,134,134,134,134,fpart|j1|lineitem|part,HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp983091402/tmp850610081'],"['s3a://data/tpch-2G/lineitem', 's3a://data/tpch-2G/part']",31a4ae76-3782-4f8f-9c38-dcec786db9ac,165,21,9,PigLatin:Q9.pig
job_1569357382192_0191,2,1,35,7,21,21,31,31,31,31,j2|j3|supplier,REPLICATED_JOIN|HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp983091402/tmp1945105446'],"['s3a://data/tpch-2G/supplier', 'hdfs://kariz-1:9000/tmp/temp983091402/tmp850610081']",31a4ae76-3782-4f8f-9c38-dcec786db9ac,43,7,21,PigLatin:Q9.pig
job_1569357382192_0192,9,1,13,5,11,11,18,18,18,18,j4|partsupp,HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp983091402/tmp762108266'],"['s3a://data/tpch-2G/partsupp', 'hdfs://kariz-1:9000/tmp/temp983091402/tmp1945105446']",31a4ae76-3782-4f8f-9c38-dcec786db9ac,35,7,11,PigLatin:Q9.pig
job_1569357382192_0193,12,1,12,7,11,11,30,30,30,30,j5|orders|selo1,HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp983091402/tmp-1502675873'],"['hdfs://kariz-1:9000/tmp/temp983091402/tmp762108266', 's3a://data/tpch-2G/orders']",31a4ae76-3782-4f8f-9c38-dcec786db9ac,46,8,11,PigLatin:Q9.pig
job_1569357382192_0194,1,1,8,8,8,8,3,3,3,3,grResult|sumResult,GROUP_BY|COMBINER,['hdfs://kariz-1:9000/tmp/temp983091402/tmp-816879534'],['hdfs://kariz-1:9000/tmp/temp983091402/tmp-1502675873'],31a4ae76-3782-4f8f-9c38-dcec786db9ac,16,7,8,PigLatin:Q9.pig
job_1569357382192_0195,1,1,3,3,3,3,3,3,3,3,sortResult,SAMPLER,['hdfs://kariz-1:9000/tmp/temp983091402/tmp2027472474'],['hdfs://kariz-1:9000/tmp/temp983091402/tmp-816879534'],31a4ae76-3782-4f8f-9c38-dcec786db9ac,11,10,3,PigLatin:Q9.pig
job_1569357382192_0196,1,1,3,3,3,3,3,3,3,3,sortResult,ORDER_BY,['/tpch/q6_2g_1rep_s3/Q9out'],['hdfs://kariz-1:9000/tmp/temp983091402/tmp-816879534'],31a4ae76-3782-4f8f-9c38-dcec786db9ac,11,8,3,PigLatin:Q9.pig
job_1569357382192_0197,13,1,29,6,11,10,27,27,27,27,c1|customer|forders|orders|selc1,HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp2101542410/tmp33108002'],"['s3a://data/tpch-2G/customer', 's3a://data/tpch-2G/orders']",e9b3e13a-b963-4ed7-b85c-51c59ffe9aa0,45,5,11,PigLatin:Q10.pig
job_1569357382192_0198,2,1,4,4,4,4,5,5,5,5,nation|o1|selo1,HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp2101542410/tmp-499814617'],"['s3a://data/tpch-2G/nation', 'hdfs://kariz-1:9000/tmp/temp2101542410/tmp33108002']",e9b3e13a-b963-4ed7-b85c-51c59ffe9aa0,14,6,4,PigLatin:Q10.pig
job_1569357382192_0199,53,1,9,4,7,7,103,103,103,103,flineitem|l1|lineitem|sell1,HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp2101542410/tmp547127953'],"['hdfs://kariz-1:9000/tmp/temp2101542410/tmp-499814617', 's3a://data/tpch-2G/lineitem']",e9b3e13a-b963-4ed7-b85c-51c59ffe9aa0,125,6,7,PigLatin:Q10.pig
job_1569357382192_0200,1,1,7,7,7,7,4,4,4,4,grResult|sumResult,GROUP_BY|COMBINER,['hdfs://kariz-1:9000/tmp/temp2101542410/tmp253827310'],['hdfs://kariz-1:9000/tmp/temp2101542410/tmp547127953'],e9b3e13a-b963-4ed7-b85c-51c59ffe9aa0,16,8,7,PigLatin:Q10.pig
job_1569357382192_0201,1,1,3,3,3,3,3,3,3,3,sortResult,SAMPLER,['hdfs://kariz-1:9000/tmp/temp2101542410/tmp1248383315'],['hdfs://kariz-1:9000/tmp/temp2101542410/tmp253827310'],e9b3e13a-b963-4ed7-b85c-51c59ffe9aa0,11,6,3,PigLatin:Q10.pig
job_1569357382192_0202,1,1,4,4,4,4,3,3,3,3,sortResult,ORDER_BY|COMBINER,['hdfs://kariz-1:9000/tmp/temp2101542410/tmp355546547'],['hdfs://kariz-1:9000/tmp/temp2101542410/tmp253827310'],e9b3e13a-b963-4ed7-b85c-51c59ffe9aa0,12,10,4,PigLatin:Q10.pig
job_1569357382192_0203,1,1,3,3,3,3,3,3,3,3,sortResult,UDF,['/tpch/q6_2g_1rep_s3/Q10out'],['hdfs://kariz-1:9000/tmp/temp2101542410/tmp355546547'],e9b3e13a-b963-4ed7-b85c-51c59ffe9aa0,11,8,3,PigLatin:Q10.pig
job_1569357382192_0204,2,1,35,4,19,19,29,29,29,29,fnation|j1|nation|selj1|supplier,HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp-665285720/tmp-107550463'],"['s3a://data/tpch-2G/nation', 's3a://data/tpch-2G/supplier']",1f24b7c7-53da-4017-a267-8e47e88e2f4e,38,5,19,PigLatin:Q11.pig
job_1569357382192_0205,9,1,12,3,10,12,24,24,24,24,j2|partsupp|selj2,HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp-665285720/tmp-1368892256'],"['hdfs://kariz-1:9000/tmp/temp-665285720/tmp-107550463', 's3a://data/tpch-2G/partsupp']",1f24b7c7-53da-4017-a267-8e47e88e2f4e,32,5,10,PigLatin:Q11.pig
job_1569357382192_0206,1,1,4,4,4,4,3,3,3,3,grResult|sumResult,GROUP_BY|COMBINER,['hdfs://kariz-1:9000/tmp/temp-665285720/tmp-1092387231'],['hdfs://kariz-1:9000/tmp/temp-665285720/tmp-1368892256'],1f24b7c7-53da-4017-a267-8e47e88e2f4e,12,9,4,PigLatin:Q11.pig
job_1569357382192_0207,1,1,4,4,4,4,4,4,4,4,outerGrResult|outerHaving|outerSumResult,GROUP_BY|COMBINER,['hdfs://kariz-1:9000/tmp/temp-665285720/tmp-1664034913'],['hdfs://kariz-1:9000/tmp/temp-665285720/tmp-1368892256'],1f24b7c7-53da-4017-a267-8e47e88e2f4e,13,8,4,PigLatin:Q11.pig
job_1569357382192_0208,1,1,3,3,3,3,3,3,3,3,ord,SAMPLER,['hdfs://kariz-1:9000/tmp/temp-665285720/tmp40635584'],['hdfs://kariz-1:9000/tmp/temp-665285720/tmp-1664034913'],1f24b7c7-53da-4017-a267-8e47e88e2f4e,11,7,3,PigLatin:Q11.pig
job_1569357382192_0209,1,1,3,3,3,3,3,3,3,3,ord,ORDER_BY,['/tpch/q6_2g_1rep_s3/Q11out'],['hdfs://kariz-1:9000/tmp/temp-665285720/tmp-1664034913'],1f24b7c7-53da-4017-a267-8e47e88e2f4e,11,5,3,PigLatin:Q11.pig
job_1569357382192_0210,63,1,11,4,7,7,114,114,114,114,flineitem|l1|lineitem|orders|sell1,HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp-1514996952/tmp-1320928237'],"['s3a://data/tpch-2G/orders', 's3a://data/tpch-2G/lineitem']",fd66c3d6-7d10-4a26-ab5e-301db099042f,148,4,7,PigLatin:Q12.pig
job_1569357382192_0211,1,1,3,3,3,3,3,3,3,3,grpResult|sumResult|urgItems,GROUP_BY,['hdfs://kariz-1:9000/tmp/temp-1514996952/tmp-1960967504'],['hdfs://kariz-1:9000/tmp/temp-1514996952/tmp-1320928237'],fd66c3d6-7d10-4a26-ab5e-301db099042f,12,9,3,PigLatin:Q12.pig
job_1569357382192_0212,1,1,3,3,3,3,3,3,3,3,sortResult,SAMPLER,['hdfs://kariz-1:9000/tmp/temp-1514996952/tmp-1832850861'],['hdfs://kariz-1:9000/tmp/temp-1514996952/tmp-1960967504'],fd66c3d6-7d10-4a26-ab5e-301db099042f,11,8,3,PigLatin:Q12.pig
job_1569357382192_0213,1,1,3,3,3,3,3,3,3,3,sortResult,ORDER_BY,['/tpch/q6_2g_1rep_s3/Q12out'],['hdfs://kariz-1:9000/tmp/temp-1514996952/tmp-1960967504'],fd66c3d6-7d10-4a26-ab5e-301db099042f,11,6,3,PigLatin:Q12.pig
job_1569357382192_0214,13,1,29,6,12,11,33,33,33,33,COG|COG1|COG2|customer|forders|orders|pcustomer|porders,COGROUP,['hdfs://kariz-1:9000/tmp/temp-1917246799/tmp-1516194129'],"['s3a://data/tpch-2G/customer', 's3a://data/tpch-2G/orders']",0340bd63-7715-49c2-ab05-86d093ad044f,52,5,12,PigLatin:Q13.pig
job_1569357382192_0215,1,1,4,4,4,4,3,3,3,3,countResult|groupResult,GROUP_BY|COMBINER,['hdfs://kariz-1:9000/tmp/temp-1917246799/tmp-1963534872'],['hdfs://kariz-1:9000/tmp/temp-1917246799/tmp-1516194129'],0340bd63-7715-49c2-ab05-86d093ad044f,13,8,4,PigLatin:Q13.pig
job_1569357382192_0216,1,1,3,3,3,3,3,3,3,3,orderResult,SAMPLER,['hdfs://kariz-1:9000/tmp/temp-1917246799/tmp-1323325634'],['hdfs://kariz-1:9000/tmp/temp-1917246799/tmp-1963534872'],0340bd63-7715-49c2-ab05-86d093ad044f,11,8,3,PigLatin:Q13.pig
job_1569357382192_0217,1,1,3,3,3,3,3,3,3,3,orderResult,ORDER_BY,['/tpch/q6_2g_1rep_s3/Q13out'],['hdfs://kariz-1:9000/tmp/temp-1917246799/tmp-1963534872'],0340bd63-7715-49c2-ab05-86d093ad044f,11,6,3,PigLatin:Q13.pig
job_1569357382192_0218,54,1,30,4,7,7,101,101,101,101,filtered_lineitem|lineitem|lineitem2|lineitem_part|part,HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp435032946/tmp353359375'],"['s3a://data/tpch-2G/part', 's3a://data/tpch-2G/lineitem']",ebbb7164-096a-4c42-a23d-e5b195240c14,130,5,7,PigLatin:Q14.pig
